1/7/1994,Not Available,Not Available,"4,514,706,278,334.71"
1/10/1994,Not Available,Not Available,"4,516,730,850,698.17"
1/11/1994,Not Available,Not Available,"4,518,782,808,146.08"
1/12/1994,Not Available,Not Available,"4,522,329,377,063.55"
1/13/1994,Not Available,Not Available,"4,523,919,573,223.95"
1/14/1994,Not Available,Not Available,"4,522,212,573,499.07"
1/18/1994,Not Available,Not Available,"4,514,736,514,189.77"
1/19/1994,Not Available,Not Available,"4,515,987,114,436.01"
1/20/1994,Not Available,Not Available,"4,500,676,535,249.79"
1/21/1994,Not Available,Not Available,"4,503,707,505,503.35"
1/24/1994,Not Available,Not Available,"4,506,790,072,963.29"
1/25/1994,Not Available,Not Available,"4,508,807,864,929.16"
1/26/1994,Not Available,Not Available,"4,511,229,509,376.83"
1/27/1994,Not Available,Not Available,"4,514,178,001,553.17"
1/28/1994,Not Available,Not Available,"4,512,950,244,156.40"
1/31/1994,Not Available,Not Available,"4,526,307,553,267.04"
2/1/1994,Not Available,Not Available,"4,522,736,108,206.24"
2/2/1994,Not Available,Not Available,"4,524,359,010,160.50"
2/3/1994,Not Available,Not Available,"4,515,062,063,163.40"
2/4/1994,Not Available,Not Available,"4,516,285,879,522.82"
2/7/1994,Not Available,Not Available,"4,517,324,862,004.37"
2/8/1994,Not Available,Not Available,"4,516,106,312,578.34"
2/9/1994,Not Available,Not Available,"4,518,431,105,010.62"
2/10/1994,Not Available,Not Available,"4,515,952,312,710.58"
2/11/1994,Not Available,Not Available,"4,514,954,984,591.65"
2/14/1994,Not Available,Not Available,"4,516,567,931,824.39"
2/15/1994,Not Available,Not Available,"4,536,507,851,740.00"
2/16/1994,Not Available,Not Available,"4,537,893,543,117.78"
2/17/1994,Not Available,Not Available,"4,538,441,806,791.77"
2/18/1994,Not Available,Not Available,"4,539,326,517,316.73"
2/22/1994,Not Available,Not Available,"4,540,131,894,166.17"
2/23/1994,Not Available,Not Available,"4,541,171,125,410.40"
2/24/1994,Not Available,Not Available,"4,541,554,540,331.42"
2/25/1994,Not Available,Not Available,"4,543,467,032,059.70"
2/28/1994,Not Available,Not Available,"4,559,540,702,805.73"
3/1/1994,Not Available,Not Available,"4,554,537,138,169.09"
3/2/1994,Not Available,Not Available,"4,554,851,980,565.91"
3/3/1994,Not Available,Not Available,"4,546,225,105,029.18"
3/4/1994,Not Available,Not Available,"4,546,834,147,895.68"
3/7/1994,Not Available,Not Available,"4,547,792,538,698.51"
3/8/1994,Not Available,Not Available,"4,545,813,542,657.08"
3/9/1994,Not Available,Not Available,"4,542,638,243,462.87"
3/10/1994,Not Available,Not Available,"4,546,800,625,410.70"
3/11/1994,Not Available,Not Available,"4,547,623,290,595.66"
3/14/1994,Not Available,Not Available,"4,548,393,027,513.76"
3/15/1994,Not Available,Not Available,"4,549,059,128,033.88"
3/16/1994,Not Available,Not Available,"4,550,473,471,421.39"
3/17/1994,Not Available,Not Available,"4,553,032,198,636.19"
3/18/1994,Not Available,Not Available,"4,554,110,591,484.90"
3/21/1994,Not Available,Not Available,"4,555,501,220,614.40"
3/22/1994,Not Available,Not Available,"4,557,219,560,535.33"
3/23/1994,Not Available,Not Available,"4,559,372,110,731.72"
3/24/1994,Not Available,Not Available,"4,556,298,849,924.14"
3/25/1994,Not Available,Not Available,"4,556,330,513,271.10"
3/28/1994,Not Available,Not Available,"4,557,424,052,378.25"
3/29/1994,Not Available,Not Available,"4,558,844,772,680.34"
3/30/1994,Not Available,Not Available,"4,558,423,582,325.07"
3/31/1994,Not Available,Not Available,"4,575,869,228,916.28"
4/1/1994,Not Available,Not Available,"4,560,799,553,874.03"
4/4/1994,Not Available,Not Available,"4,562,450,501,164.20"
4/5/1994,Not Available,Not Available,"4,563,212,317,758.84"
4/6/1994,Not Available,Not Available,"4,560,263,556,328.42"
4/7/1994,Not Available,Not Available,"4,559,253,243,772.91"
4/8/1994,Not Available,Not Available,"4,560,730,816,474.55"
4/11/1994,Not Available,Not Available,"4,561,843,058,631.29"
4/12/1994,Not Available,Not Available,"4,565,109,054,876.30"
4/13/1994,Not Available,Not Available,"4,567,991,735,352.46"
4/14/1994,Not Available,Not Available,"4,567,340,404,084.08"
4/15/1994,Not Available,Not Available,"4,561,678,898,469.51"
4/18/1994,Not Available,Not Available,"4,563,273,358,539.03"
4/19/1994,Not Available,Not Available,"4,565,951,484,411.43"
4/20/1994,Not Available,Not Available,"4,569,088,240,246.36"
4/21/1994,Not Available,Not Available,"4,555,161,011,185.26"
4/22/1994,Not Available,Not Available,"4,556,260,606,187.54"
4/25/1994,Not Available,Not Available,"4,558,348,698,138.33"
4/26/1994,Not Available,Not Available,"4,561,450,751,567.66"
4/27/1994,Not Available,Not Available,"4,562,362,531,539.75"
4/28/1994,Not Available,Not Available,"4,564,294,768,449.74"
4/29/1994,Not Available,Not Available,"4,568,703,508,047.36"
5/2/1994,Not Available,Not Available,"4,577,740,134,850.29"
5/3/1994,Not Available,Not Available,"4,569,523,962,905.25"
5/4/1994,Not Available,Not Available,"4,572,994,578,427.95"
5/5/1994,Not Available,Not Available,"4,573,713,001,135.78"
5/6/1994,Not Available,Not Available,"4,571,838,912,004.05"
5/9/1994,Not Available,Not Available,"4,569,344,570,621.63"
5/10/1994,Not Available,Not Available,"4,571,812,500,249.97"
5/11/1994,Not Available,Not Available,"4,575,658,788,945.38"
5/12/1994,Not Available,Not Available,"4,577,406,243,429.53"
5/13/1994,Not Available,Not Available,"4,579,501,883,465.93"
5/16/1994,Not Available,Not Available,"4,587,879,355,962.65"
5/17/1994,Not Available,Not Available,"4,588,708,682,253.76"
5/18/1994,Not Available,Not Available,"4,590,201,572,619.26"
5/19/1994,Not Available,Not Available,"4,588,986,595,041.71"
5/20/1994,Not Available,Not Available,"4,589,268,567,599.52"
5/23/1994,Not Available,Not Available,"4,590,487,523,297.75"
5/24/1994,Not Available,Not Available,"4,591,881,334,308.86"
5/25/1994,Not Available,Not Available,"4,594,145,784,621.78"
5/26/1994,Not Available,Not Available,"4,596,085,184,159.39"
5/27/1994,Not Available,Not Available,"4,596,836,893,746.15"
5/31/1994,Not Available,Not Available,"4,609,296,212,021.38"
6/1/1994,Not Available,Not Available,"4,603,368,349,595.98"
6/2/1994,Not Available,Not Available,"4,602,360,218,238.55"
6/3/1994,Not Available,Not Available,"4,605,744,020,105.63"
6/6/1994,Not Available,Not Available,"4,605,340,458,317.52"
6/7/1994,Not Available,Not Available,"4,606,571,769,797.43"
